prompt,health_ailment,date
"I've been experiencing Pneumonia since Today, 08:00 AM – 11:00 AM.",Pneumonia,"Today, 08:00 AM – 11:00 AM"
"Since 03/21/2020 – 03/25/2020, I’ve been dealing with Overtraining Syndrome.",Overtraining Syndrome,03/21/2020 – 03/25/2020
I've been experiencing Celiac Disease since Since turning 30 years old.,Celiac Disease,Since turning 30 years old
I have Hyperthyroidism since Since last Monday.,Hyperthyroidism,Since last Monday
"Since Past 12 hours, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,Past 12 hours
I’ve been suffering from Anxiety Disorder ever since 2019/12/15 – 2019/12/19.,Anxiety Disorder,2019/12/15 – 2019/12/19
I’ve been suffering from Plantar Fasciitis ever since Past week.,Plantar Fasciitis,Past week
"Since 03/21/2020 – 03/25/2020, I’ve been dealing with Bradycardia (Slow Heart Rate).",Bradycardia (Slow Heart Rate),03/21/2020 – 03/25/2020
"Since Past week, I’ve been dealing with Epilepsy.",Epilepsy,Past week
"I've been experiencing Pneumonia since Today, 08:00 AM – 11:00 AM.",Pneumonia,"Today, 08:00 AM – 11:00 AM"
I've been experiencing Hyperthyroidism since 03/26/2020 – 03/29/2020.,Hyperthyroidism,03/26/2020 – 03/29/2020
I've been experiencing Hypotension (Low Blood Pressure) since 2020/02/11 – 2020/02/14.,Hypotension (Low Blood Pressure),2020/02/11 – 2020/02/14
I have had Exertional Rhabdomyolysis since 03/01/2020 – 03/05/2020.,Exertional Rhabdomyolysis,03/01/2020 – 03/05/2020
I've been experiencing Chronic Sinusitis since 2019/12/20 – 2019/12/27.,Chronic Sinusitis,2019/12/20 – 2019/12/27
I've been experiencing Overtraining Syndrome since Last weekend.,Overtraining Syndrome,Last weekend
I have had Migraine since Between 02/10/2020 and 02/20/2020.,Migraine,Between 02/10/2020 and 02/20/2020
"Since Since the COVID-19 pandemic began, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),Since the COVID-19 pandemic began
Bradycardia (Slow Heart Rate) have been affecting me since 2019/11/18 – 2019/11/22.,Bradycardia (Slow Heart Rate),2019/11/18 – 2019/11/22
I have had Rosacea since 03/21/2020 – 03/25/2020.,Rosacea,03/21/2020 – 03/25/2020
I've been experiencing Fatigue from Iron Deficiency since Last 3 hours.,Fatigue from Iron Deficiency,Last 3 hours
I have had Anemia Eczema (Atopic Dermatitis) since During the holiday season 2019.,Anemia Eczema (Atopic Dermatitis),During the holiday season 2019
I’ve been suffering from Celiac Disease ever since 2020/01/11 – 2020/01/15.,Celiac Disease,2020/01/11 – 2020/01/15
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since Since last Monday.,Attention Deficit Hyperactivity Disorder (ADHD),Since last Monday
"Since Since my last doctor’s visit, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,Since my last doctor’s visit
I've been experiencing Exertional Rhabdomyolysis since 03/21/2020 – 03/25/2020.,Exertional Rhabdomyolysis,03/21/2020 – 03/25/2020
I’ve been suffering from Exertional Rhabdomyolysis ever since The second half of November 2019.,Exertional Rhabdomyolysis,The second half of November 2019
I have had Type 2 Diabetes since From 03/01/2020 to 03/07/2020.,Type 2 Diabetes,From 03/01/2020 to 03/07/2020
I've been experiencing High Cholesterol (Hyperlipidemia) since 2020/01/20 – 2020/01/25.,High Cholesterol (Hyperlipidemia),2020/01/20 – 2020/01/25
"Since Since last night at midnight, I’ve been dealing with Heat Exhaustion.",Heat Exhaustion,Since last night at midnight
I've been experiencing Depression since 03/11/2020 – 03/14/2020.,Depression,03/11/2020 – 03/14/2020
I've been experiencing Dehydration since The entire month of February 2020.,Dehydration,The entire month of February 2020
I have had Chronic Back Pain since 03/01/2020 – 03/05/2020.,Chronic Back Pain,03/01/2020 – 03/05/2020
I have Exertional Rhabdomyolysis since 2019/12/20 – 2019/12/27.,Exertional Rhabdomyolysis,2019/12/20 – 2019/12/27
I've been experiencing Peripheral Neuropathy since Every morning this week.,Peripheral Neuropathy,Every morning this week
I have had Dehydration since 03/01/2020 – 03/15/2020.,Dehydration,03/01/2020 – 03/15/2020
I have had Plantar Fasciitis since 2019/11/03 – 2019/11/07.,Plantar Fasciitis,2019/11/03 – 2019/11/07
I've been experiencing Peptic Ulcer Disease since Last 3 months.,Peptic Ulcer Disease,Last 3 months
I have Gallstones since Past 3 hours.,Gallstones,Past 3 hours
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Hyperthyroidism.",Hyperthyroidism,2019/12/20 – 2019/12/27
I have Acid Reflux (GERD) since Last 2 months.,Acid Reflux (GERD),Last 2 months
"Since Since my last doctor’s visit, I’ve been dealing with Iliotibial Band Syndrome (ITBS).",Iliotibial Band Syndrome (ITBS),Since my last doctor’s visit
Chronic Fatigue Syndrome have been affecting me since 2020/01/28 – 2020/02/02.,Chronic Fatigue Syndrome,2020/01/28 – 2020/02/02
I’ve been suffering from Restless Legs Syndrome ever since 2019/11/03 – 2019/11/07.,Restless Legs Syndrome,2019/11/03 – 2019/11/07
I've been experiencing Achilles Tendinitis since Last weekend.,Achilles Tendinitis,Last weekend
"I've been experiencing Dehydration since Today, 08:00 AM – 11:00 AM.",Dehydration,"Today, 08:00 AM – 11:00 AM"
I have had Anxiety Disorder since 03/01/2020 – 03/05/2020.,Anxiety Disorder,03/01/2020 – 03/05/2020
"Since From 07:00 PM to 10:00 PM yesterday, I’ve been dealing with Heart Palpitations.",Heart Palpitations,From 07:00 PM to 10:00 PM yesterday
I have Tachycardia (Fast Heart Rate) since From 03/01/2020 to 03/07/2020.,Tachycardia (Fast Heart Rate),From 03/01/2020 to 03/07/2020
I have Chronic Back Pain since Since last night at midnight.,Chronic Back Pain,Since last night at midnight
I've been experiencing Bradycardia (Slow Heart Rate) since 03/01/2020 – 03/15/2020.,Bradycardia (Slow Heart Rate),03/01/2020 – 03/15/2020
"Since 12/30/2019 – 01/10/2020, I’ve been dealing with Tachycardia (Fast Heart Rate).",Tachycardia (Fast Heart Rate),12/30/2019 – 01/10/2020
I have Gallstones since The entire month of February 2020.,Gallstones,The entire month of February 2020
Runner’s Knee (Patellofemoral Pain Syndrome) have been affecting me since Last 3 hours.,Runner’s Knee (Patellofemoral Pain Syndrome),Last 3 hours
I have Shin Splints since 2020/02/22 – 2020/02/25.,Shin Splints,2020/02/22 – 2020/02/25
I've been experiencing Overtraining Syndrome since 2019/12/08 – 2019/12/12.,Overtraining Syndrome,2019/12/08 – 2019/12/12
I have had Hypertension (High Blood Pressure) since Since turning 30 years old.,Hypertension (High Blood Pressure),Since turning 30 years old
"Since Past 30 days, I’ve been dealing with Fibromyalgia.",Fibromyalgia,Past 30 days
I’ve been suffering from Anxiety Disorder ever since Past 12 hours.,Anxiety Disorder,Past 12 hours
"Since Yesterday, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),Yesterday
"Since Past 3 hours, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),Past 3 hours
I have Migraine since 2019/12/01 – 2019/12/05.,Migraine,2019/12/01 – 2019/12/05
I’ve been suffering from Restless Legs Syndrome ever since Since last Monday.,Restless Legs Syndrome,Since last Monday
"Since Today, 08:00 AM – 11:00 AM, I’ve been dealing with Anemia Eczema (Atopic Dermatitis).",Anemia Eczema (Atopic Dermatitis),"Today, 08:00 AM – 11:00 AM"
Irritable Bowel Syndrome (IBS) have been affecting me since The second half of November 2019.,Irritable Bowel Syndrome (IBS),The second half of November 2019
I have Irritable Bowel Syndrome (IBS) since 03/15/2020 – 03/19/2020.,Irritable Bowel Syndrome (IBS),03/15/2020 – 03/19/2020
I've been experiencing Chronic Sinusitis since 03/15/2020 – 03/19/2020.,Chronic Sinusitis,03/15/2020 – 03/19/2020
I've been experiencing Asthma since 12/30/2019 – 01/10/2020.,Asthma,12/30/2019 – 01/10/2020
I've been experiencing Benign Prostatic Hyperplasia (BPH) since Between 02/10/2020 and 02/20/2020.,Benign Prostatic Hyperplasia (BPH),Between 02/10/2020 and 02/20/2020
I have Osteoarthritis since 03/15/2020 – 03/19/2020.,Osteoarthritis,03/15/2020 – 03/19/2020
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Common Cold.",Common Cold,2020/02/05 – 2020/02/10
I’ve been suffering from Rosacea ever since 03/21/2020 – 03/25/2020.,Rosacea,03/21/2020 – 03/25/2020
"Since Every morning this week, I’ve been dealing with Allergic Rhinitis (Seasonal Allergies).",Allergic Rhinitis (Seasonal Allergies),Every morning this week
I've been experiencing Osteoarthritis since 2019/12/08 – 2019/12/12.,Osteoarthritis,2019/12/08 – 2019/12/12
I’ve been suffering from Allergic Rhinitis (Seasonal Allergies) ever since For the past 4 days.,Allergic Rhinitis (Seasonal Allergies),For the past 4 days
I've been experiencing Common Cold since The last quarter of 2019.,Common Cold,The last quarter of 2019
"I've been experiencing Chronic Kidney Disease since Today, 08:00 AM – 11:00 AM.",Chronic Kidney Disease,"Today, 08:00 AM – 11:00 AM"
Fibromyalgia have been affecting me since The second half of November 2019.,Fibromyalgia,The second half of November 2019
Chronic Sinusitis have been affecting me since Since last night at midnight.,Chronic Sinusitis,Since last night at midnight
"Since Last 2 months, I’ve been dealing with Exercise-Induced Hypoglycemia.",Exercise-Induced Hypoglycemia,Last 2 months
Fatigue from Iron Deficiency have been affecting me since Since last Monday.,Fatigue from Iron Deficiency,Since last Monday
I’ve been suffering from Anxiety Disorder ever since 2019/12/01 – 2019/12/05.,Anxiety Disorder,2019/12/01 – 2019/12/05
"I have had Hypertension (High Blood Pressure) since Today, 08:00 AM – 11:00 AM.",Hypertension (High Blood Pressure),"Today, 08:00 AM – 11:00 AM"
I’ve been suffering from Iliotibial Band Syndrome (ITBS) ever since Past 30 days.,Iliotibial Band Syndrome (ITBS),Past 30 days
I've been experiencing Chronic Sinusitis since Last 2 months.,Chronic Sinusitis,Last 2 months
I have Chronic Sinusitis since 03/15/2020 – 03/19/2020.,Chronic Sinusitis,03/15/2020 – 03/19/2020
I've been experiencing Chronic Sinusitis since The entire month of February 2020.,Chronic Sinusitis,The entire month of February 2020
I have Polycystic Ovary Syndrome (PCOS) since This month (up to today).,Polycystic Ovary Syndrome (PCOS),This month (up to today)
Hypertension (High Blood Pressure) have been affecting me since Past 30 days.,Hypertension (High Blood Pressure),Past 30 days
I've been experiencing Common Cold since 2019/12/20 – 2019/12/27.,Common Cold,2019/12/20 – 2019/12/27
I have had Iliotibial Band Syndrome (ITBS) since 03/01/2020 – 03/05/2020.,Iliotibial Band Syndrome (ITBS),03/01/2020 – 03/05/2020
"Since Today, 08:00 AM – 11:00 AM, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),"Today, 08:00 AM – 11:00 AM"
"Since Yesterday, I’ve been dealing with Fatigue from Iron Deficiency.",Fatigue from Iron Deficiency,Yesterday
I’ve been suffering from Peripheral Neuropathy ever since 03/01/2020 – 03/05/2020.,Peripheral Neuropathy,03/01/2020 – 03/05/2020
I have Polycystic Ovary Syndrome (PCOS) since Past 12 hours.,Polycystic Ovary Syndrome (PCOS),Past 12 hours
"Since This month (up to today), I’ve been dealing with Delayed Onset Muscle Soreness (DOMS).",Delayed Onset Muscle Soreness (DOMS),This month (up to today)
Peptic Ulcer Disease have been affecting me since Last 3 hours.,Peptic Ulcer Disease,Last 3 hours
Tachycardia (Fast Heart Rate) have been affecting me since Past 1 hour.,Tachycardia (Fast Heart Rate),Past 1 hour
I've been experiencing Exercise-Induced Hypoglycemia since 2019/12/01 – 2019/12/05.,Exercise-Induced Hypoglycemia,2019/12/01 – 2019/12/05
Restless Legs Syndrome have been affecting me since The second half of November 2019.,Restless Legs Syndrome,The second half of November 2019
Hypotension (Low Blood Pressure) have been affecting me since Over the last school semester.,Hypotension (Low Blood Pressure),Over the last school semester
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Common Cold.",Common Cold,2019/12/20 – 2019/12/27
I have Orthostatic Intolerance since The second half of November 2019.,Orthostatic Intolerance,The second half of November 2019
I have had Psoriasis Urinary Tract Infection (UTI) since Since the beginning of this year.,Psoriasis Urinary Tract Infection (UTI),Since the beginning of this year
I've been experiencing Type 2 Diabetes since Past 1 hour.,Type 2 Diabetes,Past 1 hour
I’ve been suffering from Psoriasis Urinary Tract Infection (UTI) ever since Past 3 hours.,Psoriasis Urinary Tract Infection (UTI),Past 3 hours
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Chronic Kidney Disease.",Chronic Kidney Disease,2019/12/15 – 2019/12/19
I've been experiencing Postural Orthostatic Tachycardia Syndrome (POTS) since Since last night at midnight.,Postural Orthostatic Tachycardia Syndrome (POTS),Since last night at midnight
"Since Past 3 hours, I’ve been dealing with Celiac Disease.",Celiac Disease,Past 3 hours
Common Cold have been affecting me since The second half of November 2019.,Common Cold,The second half of November 2019
I’ve been suffering from Chronic Sinusitis ever since From 07:00 PM to 10:00 PM yesterday.,Chronic Sinusitis,From 07:00 PM to 10:00 PM yesterday
I’ve been suffering from Shingles (Herpes Zoster) ever since 03/21/2020 – 03/25/2020.,Shingles (Herpes Zoster),03/21/2020 – 03/25/2020
I have Postural Orthostatic Tachycardia Syndrome (POTS) since Last weekend.,Postural Orthostatic Tachycardia Syndrome (POTS),Last weekend
I have had Insomnia since 03/26/2020 – 03/29/2020.,Insomnia,03/26/2020 – 03/29/2020
I've been experiencing Peripheral Neuropathy since 12/30/2019 – 01/10/2020.,Peripheral Neuropathy,12/30/2019 – 01/10/2020
I have Chronic Fatigue Syndrome since Last month.,Chronic Fatigue Syndrome,Last month
I’ve been suffering from Asthma ever since The entire month of February 2020.,Asthma,The entire month of February 2020
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Irritable Bowel Syndrome (IBS).",Irritable Bowel Syndrome (IBS),2019/12/08 – 2019/12/12
I've been experiencing High Cholesterol (Hyperlipidemia) since 03/01/2020 – 03/05/2020.,High Cholesterol (Hyperlipidemia),03/01/2020 – 03/05/2020
Peripheral Neuropathy have been affecting me since 03/20/2020 – 03/27/2020.,Peripheral Neuropathy,03/20/2020 – 03/27/2020
I have had Attention Deficit Hyperactivity Disorder (ADHD) since Past 30 days.,Attention Deficit Hyperactivity Disorder (ADHD),Past 30 days
Benign Prostatic Hyperplasia (BPH) have been affecting me since This month (up to today).,Benign Prostatic Hyperplasia (BPH),This month (up to today)
I have Polycystic Ovary Syndrome (PCOS) since 03/21/2020 – 03/25/2020.,Polycystic Ovary Syndrome (PCOS),03/21/2020 – 03/25/2020
I’ve been suffering from Chronic Fatigue Syndrome ever since 03/26/2020 – 03/29/2020.,Chronic Fatigue Syndrome,03/26/2020 – 03/29/2020
Depression have been affecting me since 2019/11/29 – 2019/12/15.,Depression,2019/11/29 – 2019/12/15
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Acid Reflux (GERD).",Acid Reflux (GERD),2019/12/20 – 2019/12/27
"Since Past 1 hour, I’ve been dealing with Epilepsy.",Epilepsy,Past 1 hour
I've been experiencing Chronic Back Pain since Past 12 hours.,Chronic Back Pain,Past 12 hours
I have had Benign Prostatic Hyperplasia (BPH) since The second half of November 2019.,Benign Prostatic Hyperplasia (BPH),The second half of November 2019
I have had Chronic Sinusitis since 2019/12/01 – 2019/12/05.,Chronic Sinusitis,2019/12/01 – 2019/12/05
"Since Over the last school semester, I’ve been dealing with Obesity.",Obesity,Over the last school semester
Obesity have been affecting me since During the holiday season 2019.,Obesity,During the holiday season 2019
Obesity have been affecting me since During Spring 2020.,Obesity,During Spring 2020
I have Chronic Sinusitis since This month (up to today).,Chronic Sinusitis,This month (up to today)
I've been experiencing Hypotension (Low Blood Pressure) since Since the beginning of this year.,Hypotension (Low Blood Pressure),Since the beginning of this year
I’ve been suffering from Heart Palpitations ever since Last weekend.,Heart Palpitations,Last weekend
I’ve been suffering from Asthma ever since Last weekend.,Asthma,Last weekend
I've been experiencing Osteoarthritis since 2019/11/03 – 2019/11/07.,Osteoarthritis,2019/11/03 – 2019/11/07
I’ve been suffering from Iliotibial Band Syndrome (ITBS) ever since 2020/01/01 – 2020/01/07.,Iliotibial Band Syndrome (ITBS),2020/01/01 – 2020/01/07
"Since Since the COVID-19 pandemic began, I’ve been dealing with Hyperthyroidism.",Hyperthyroidism,Since the COVID-19 pandemic began
I have had Hypotension (Low Blood Pressure) since Every morning this week.,Hypotension (Low Blood Pressure),Every morning this week
I have Delayed Onset Muscle Soreness (DOMS) since Since the beginning of this year.,Delayed Onset Muscle Soreness (DOMS),Since the beginning of this year
I have had Rheumatoid Arthritis since 2019/11/29 – 2019/12/15.,Rheumatoid Arthritis,2019/11/29 – 2019/12/15
I’ve been suffering from Iliotibial Band Syndrome (ITBS) ever since Last 2 months.,Iliotibial Band Syndrome (ITBS),Last 2 months
I’ve been suffering from Runner’s Knee (Patellofemoral Pain Syndrome) ever since 2020/01/11 – 2020/01/15.,Runner’s Knee (Patellofemoral Pain Syndrome),2020/01/11 – 2020/01/15
I’ve been suffering from Common Cold ever since 2020/02/22 – 2020/02/25.,Common Cold,2020/02/22 – 2020/02/25
I have had Rosacea since 2020/02/11 – 2020/02/14.,Rosacea,2020/02/11 – 2020/02/14
I’ve been suffering from Irritable Bowel Syndrome (IBS) ever since 2019/11/18 – 2019/11/22.,Irritable Bowel Syndrome (IBS),2019/11/18 – 2019/11/22
Epilepsy have been affecting me since 2020/01/28 – 2020/02/02.,Epilepsy,2020/01/28 – 2020/02/02
Obesity have been affecting me since 2020/02/22 – 2020/02/25.,Obesity,2020/02/22 – 2020/02/25
"Since Last 3 hours, I’ve been dealing with Dehydration.",Dehydration,Last 3 hours
I've been experiencing Anxiety Disorder since 2019/11/18 – 2019/11/22.,Anxiety Disorder,2019/11/18 – 2019/11/22
"Since The entire month of February 2020, I’ve been dealing with Glaucoma.",Glaucoma,The entire month of February 2020
I have Irritable Bowel Syndrome (IBS) since 2019/12/15 – 2019/12/19.,Irritable Bowel Syndrome (IBS),2019/12/15 – 2019/12/19
I have had Hyperthyroidism since The entire month of February 2020.,Hyperthyroidism,The entire month of February 2020
Peripheral Neuropathy have been affecting me since 2019/12/08 – 2019/12/12.,Peripheral Neuropathy,2019/12/08 – 2019/12/12
I've been experiencing Psoriasis Urinary Tract Infection (UTI) since Every morning this week.,Psoriasis Urinary Tract Infection (UTI),Every morning this week
I have Hyperthyroidism since Since my last doctor’s visit.,Hyperthyroidism,Since my last doctor’s visit
Anxiety Disorder have been affecting me since 03/20/2020 – 03/27/2020.,Anxiety Disorder,03/20/2020 – 03/27/2020
I’ve been suffering from Benign Prostatic Hyperplasia (BPH) ever since Last 3 hours.,Benign Prostatic Hyperplasia (BPH),Last 3 hours
I have had Delayed Onset Muscle Soreness (DOMS) since Past week.,Delayed Onset Muscle Soreness (DOMS),Past week
I've been experiencing Myofascial Pain Syndrome since 03/01/2020 – 03/05/2020.,Myofascial Pain Syndrome,03/01/2020 – 03/05/2020
"Since Since the beginning of this year, I’ve been dealing with Tachycardia (Fast Heart Rate).",Tachycardia (Fast Heart Rate),Since the beginning of this year
I have Iliotibial Band Syndrome (ITBS) since 03/15/2020 – 03/19/2020.,Iliotibial Band Syndrome (ITBS),03/15/2020 – 03/19/2020
I have had Shingles (Herpes Zoster) since Yesterday.,Shingles (Herpes Zoster),Yesterday
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Anxiety Disorder.",Anxiety Disorder,2019/12/08 – 2019/12/12
I have Restless Legs Syndrome since Over the last school semester.,Restless Legs Syndrome,Over the last school semester
"Since 03/26/2020 – 03/29/2020, I’ve been dealing with Irritable Bowel Syndrome (IBS).",Irritable Bowel Syndrome (IBS),03/26/2020 – 03/29/2020
"Since Since the COVID-19 pandemic began, I’ve been dealing with Gallstones.",Gallstones,Since the COVID-19 pandemic began
I’ve been suffering from Psoriasis Urinary Tract Infection (UTI) ever since 12/30/2019 – 01/10/2020.,Psoriasis Urinary Tract Infection (UTI),12/30/2019 – 01/10/2020
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Celiac Disease.",Celiac Disease,2020/02/05 – 2020/02/10
Shin Splints have been affecting me since 2020/01/01 – 2020/01/07.,Shin Splints,2020/01/01 – 2020/01/07
I have Psoriasis Urinary Tract Infection (UTI) since 2019/12/01 – 2019/12/05.,Psoriasis Urinary Tract Infection (UTI),2019/12/01 – 2019/12/05
I've been experiencing Exertional Rhabdomyolysis since From 03/01/2020 to 03/07/2020.,Exertional Rhabdomyolysis,From 03/01/2020 to 03/07/2020
I've been experiencing Irritable Bowel Syndrome (IBS) since 2020/01/28 – 2020/02/02.,Irritable Bowel Syndrome (IBS),2020/01/28 – 2020/02/02
I have had Gallstones since Past 1 hour.,Gallstones,Past 1 hour
Osteoarthritis have been affecting me since Past 6 hours.,Osteoarthritis,Past 6 hours
"Since For the past 4 days, I’ve been dealing with Exercise-Induced Hypoglycemia.",Exercise-Induced Hypoglycemia,For the past 4 days
I have Rosacea since 03/01/2020 – 03/05/2020.,Rosacea,03/01/2020 – 03/05/2020
Depression have been affecting me since Every morning this week.,Depression,Every morning this week
"Since Past week, I’ve been dealing with Peptic Ulcer Disease.",Peptic Ulcer Disease,Past week
"Since The second half of November 2019, I’ve been dealing with Joint Sprain.",Joint Sprain,The second half of November 2019
I've been experiencing Hypotension (Low Blood Pressure) since 03/26/2020 – 03/29/2020.,Hypotension (Low Blood Pressure),03/26/2020 – 03/29/2020
I have Gout since Last 2 months.,Gout,Last 2 months
I’ve been suffering from Celiac Disease ever since During the holiday season 2019.,Celiac Disease,During the holiday season 2019
"I have had Iliotibial Band Syndrome (ITBS) since Today, 08:00 AM – 11:00 AM.",Iliotibial Band Syndrome (ITBS),"Today, 08:00 AM – 11:00 AM"
I've been experiencing Rosacea since During Spring 2020.,Rosacea,During Spring 2020
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),2019/12/08 – 2019/12/12
I have had Myofascial Pain Syndrome since Last 3 hours.,Myofascial Pain Syndrome,Last 3 hours
"Since Since last night at midnight, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),Since last night at midnight
I've been experiencing Iliotibial Band Syndrome (ITBS) since 03/01/2020 – 03/15/2020.,Iliotibial Band Syndrome (ITBS),03/01/2020 – 03/15/2020
"Since Since my last doctor’s visit, I’ve been dealing with Obesity.",Obesity,Since my last doctor’s visit
I have had Irritable Bowel Syndrome (IBS) since 03/06/2020 – 03/10/2020.,Irritable Bowel Syndrome (IBS),03/06/2020 – 03/10/2020
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Exertional Rhabdomyolysis.",Exertional Rhabdomyolysis,2019/12/08 – 2019/12/12
I've been experiencing Allergic Rhinitis (Seasonal Allergies) since Yesterday.,Allergic Rhinitis (Seasonal Allergies),Yesterday
"Since Last month, I’ve been dealing with Orthostatic Intolerance.",Orthostatic Intolerance,Last month
I have had Irritable Bowel Syndrome (IBS) since 2019/11/05 – 2019/11/06.,Irritable Bowel Syndrome (IBS),2019/11/05 – 2019/11/06
Acid Reflux (GERD) have been affecting me since 03/26/2020 – 03/29/2020.,Acid Reflux (GERD),03/26/2020 – 03/29/2020
Benign Prostatic Hyperplasia (BPH) have been affecting me since 2019/12/20 – 2019/12/27.,Benign Prostatic Hyperplasia (BPH),2019/12/20 – 2019/12/27
I’ve been suffering from Overtraining Syndrome ever since 2020/01/11 – 2020/01/15.,Overtraining Syndrome,2020/01/11 – 2020/01/15
I’ve been suffering from Joint Sprain ever since The entire month of February 2020.,Joint Sprain,The entire month of February 2020
I've been experiencing Peripheral Neuropathy since Past 30 days.,Peripheral Neuropathy,Past 30 days
I have Attention Deficit Hyperactivity Disorder (ADHD) since For the past 4 days.,Attention Deficit Hyperactivity Disorder (ADHD),For the past 4 days
"Since Last weekend, I’ve been dealing with Chronic Back Pain.",Chronic Back Pain,Last weekend
I have Exercise-Induced Hypoglycemia since 2019/12/01 – 2019/12/05.,Exercise-Induced Hypoglycemia,2019/12/01 – 2019/12/05
"Since Since my last doctor’s visit, I’ve been dealing with Postural Orthostatic Tachycardia Syndrome (POTS).",Postural Orthostatic Tachycardia Syndrome (POTS),Since my last doctor’s visit
"Since Every morning this week, I’ve been dealing with Peptic Ulcer Disease.",Peptic Ulcer Disease,Every morning this week
I've been experiencing Irritable Bowel Syndrome (IBS) since 2019/12/08 – 2019/12/12.,Irritable Bowel Syndrome (IBS),2019/12/08 – 2019/12/12
I've been experiencing Hypertrophic Cardiomyopathy since 2019/11/05 – 2019/11/06.,Hypertrophic Cardiomyopathy,2019/11/05 – 2019/11/06
I have Bradycardia (Slow Heart Rate) since 2019/11/10 – 2019/11/12.,Bradycardia (Slow Heart Rate),2019/11/10 – 2019/11/12
"Since 2019/11/05 – 2019/11/06, I’ve been dealing with Depression.",Depression,2019/11/05 – 2019/11/06
I have had Depression since Last 3 hours.,Depression,Last 3 hours
I've been experiencing Epilepsy since From 03/01/2020 to 03/07/2020.,Epilepsy,From 03/01/2020 to 03/07/2020
I’ve been suffering from Plantar Fasciitis ever since Last weekend.,Plantar Fasciitis,Last weekend
I have had Iliotibial Band Syndrome (ITBS) since Last 36 hours.,Iliotibial Band Syndrome (ITBS),Last 36 hours
I have Runner’s Knee (Patellofemoral Pain Syndrome) since The second half of November 2019.,Runner’s Knee (Patellofemoral Pain Syndrome),The second half of November 2019
Chronic Fatigue Syndrome have been affecting me since For the past 4 days.,Chronic Fatigue Syndrome,For the past 4 days
"Since The last quarter of 2019, I’ve been dealing with Pneumonia.",Pneumonia,The last quarter of 2019
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since Yesterday.,Attention Deficit Hyperactivity Disorder (ADHD),Yesterday
I’ve been suffering from Shin Splints ever since During the holiday season 2019.,Shin Splints,During the holiday season 2019
I’ve been suffering from Shin Splints ever since Since last night at midnight.,Shin Splints,Since last night at midnight
I’ve been suffering from High Cholesterol (Hyperlipidemia) ever since 03/20/2020 – 03/27/2020.,High Cholesterol (Hyperlipidemia),03/20/2020 – 03/27/2020
I have Peripheral Neuropathy since 03/15/2020 – 03/19/2020.,Peripheral Neuropathy,03/15/2020 – 03/19/2020
"Since Last 2 months, I’ve been dealing with Muscle Strain.",Muscle Strain,Last 2 months
I’ve been suffering from Exercise-Induced Hypoglycemia ever since During Spring 2020.,Exercise-Induced Hypoglycemia,During Spring 2020
I have Common Cold since This month (up to today).,Common Cold,This month (up to today)
I’ve been suffering from Migraine ever since Between 02/10/2020 and 02/20/2020.,Migraine,Between 02/10/2020 and 02/20/2020
I have had Restless Legs Syndrome since From 07:00 PM to 10:00 PM yesterday.,Restless Legs Syndrome,From 07:00 PM to 10:00 PM yesterday
I have Polycystic Ovary Syndrome (PCOS) since Past 2 weeks.,Polycystic Ovary Syndrome (PCOS),Past 2 weeks
I've been experiencing Hypertrophic Cardiomyopathy since Past 1 hour.,Hypertrophic Cardiomyopathy,Past 1 hour
High Cholesterol (Hyperlipidemia) have been affecting me since Past 1 hour.,High Cholesterol (Hyperlipidemia),Past 1 hour
"Since During the holiday season 2019, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,During the holiday season 2019
Chronic Fatigue Syndrome have been affecting me since Past 1 hour.,Chronic Fatigue Syndrome,Past 1 hour
Glaucoma have been affecting me since Past week.,Glaucoma,Past week
I have Gallstones since 2019/12/15 – 2019/12/19.,Gallstones,2019/12/15 – 2019/12/19
I've been experiencing Migraine since Every morning this week.,Migraine,Every morning this week
"Since Last 3 hours, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),Last 3 hours
